Variable,OR (95% CI),P
"HR AC1, late-centred window mean †",1.23 (0.85–1.78),0.271
Late-window MAP mean (raw),0.93 (0.92–0.94),<0.001
Late-window HR mean (raw),1.03 (1.02–1.03),<0.001
Invasive MV at -12h,0.68 (0.52–0.90),0.006
Sedation exposure in prior 12h,5.55 (4.26–7.25),<0.001
Beta-blocker exposure in prior 12h,0.71 (0.45–1.12),0.143
ICU type: SICU vs MICU,0.86 (0.64–1.15),0.319
ICU type: CCU/CSRU vs MICU,1.35 (0.98–1.87),0.065
ICU type: Neuro/NICU vs MICU,0.63 (0.30–1.30),0.209
ICU type: Other vs MICU,1.20 (0.56–2.58),0.633
Monitoring: ABP vs NBP,1.03 (0.78–1.37),0.826
Monitoring: Mixed vs NBP,1.24 (0.84–1.83),0.286
